,recency,frequency,monetary,RecenciaCluster,FrequenciaCluster,monetaryCluster,Score,Seguimento
58,190,1,182.5,0,0,0,0,Inativo
59,190,1,109.9,0,0,0,0,Inativo
60,190,1,220.7,0,0,0,0,Inativo
61,190,1,229.7,0,0,0,0,Inativo
62,190,1,189.0,0,0,0,0,Inativo
63,190,1,139.8,0,0,0,0,Inativo
64,190,1,229.8,0,0,0,0,Inativo
65,190,1,149.0,0,0,0,0,Inativo
66,190,1,77.7,0,0,0,0,Inativo
67,190,1,179.8,0,0,0,0,Inativo
68,190,1,176.7,0,0,0,0,Inativo
69,190,1,162.6,0,0,0,0,Inativo
70,190,1,258.8,0,0,0,0,Inativo
71,190,1,69.9,0,0,0,0,Inativo
72,190,1,214.5,0,0,0,0,Inativo
73,190,1,117.6,0,0,0,0,Inativo
74,207,1,67.4,0,0,0,0,Inativo
75,207,1,223.6,0,0,0,0,Inativo
76,207,1,127.1,0,0,0,0,Inativo
77,207,1,93.3,0,0,0,0,Inativo
78,211,1,94.2,0,0,0,0,Inativo
79,206,1,190.9,0,0,0,0,Inativo
80,206,1,250.7,0,0,0,0,Inativo
81,206,1,83.1,0,0,0,0,Inativo
82,186,1,94.2,0,0,0,0,Inativo
83,186,1,287.6,0,0,0,0,Inativo
84,206,1,189.0,0,0,0,0,Inativo
85,186,1,69.9,0,0,0,0,Inativo
86,186,1,208.9,0,0,0,0,Inativo
87,186,1,109.9,0,0,0,0,Inativo
88,186,1,290.0,0,0,0,0,Inativo
89,186,1,111.8,0,0,0,0,Inativo
90,186,1,49.9,0,0,0,0,Inativo
91,186,1,180.8,0,0,0,0,Inativo
92,186,1,56.9,0,0,0,0,Inativo
93,206,1,109.42,0,0,0,0,Inativo
94,186,1,192.9,0,0,0,0,Inativo
95,186,1,164.7,0,0,0,0,Inativo
96,186,1,82.9,0,0,0,0,Inativo
97,186,1,121.8,0,0,0,0,Inativo
98,186,1,229.8,0,0,0,0,Inativo
99,186,1,109.8,0,0,0,0,Inativo
100,206,1,225.7,0,0,0,0,Inativo
101,186,1,276.5,0,0,0,0,Inativo
102,186,1,264.6,0,0,0,0,Inativo
103,187,1,219.6,0,0,0,0,Inativo
104,186,1,170.7,0,0,0,0,Inativo
105,187,1,98.6,0,0,0,0,Inativo
106,206,1,209.8,0,0,0,0,Inativo
107,186,1,296.73,0,0,0,0,Inativo
108,187,1,99.9,0,0,0,0,Inativo
109,187,1,54.9,0,0,0,0,Inativo
110,186,1,285.6,0,0,0,0,Inativo
111,187,1,299.7,0,0,0,0,Inativo
112,186,1,139.0,0,0,0,0,Inativo
113,186,1,146.0,0,0,0,0,Inativo
114,187,1,72.2,0,0,0,0,Inativo
115,187,1,222.9,0,0,0,0,Inativo
116,186,1,220.7,0,0,0,0,Inativo
117,187,1,149.0,0,0,0,0,Inativo
118,187,1,149.0,0,0,0,0,Inativo
119,186,1,121.6,0,0,0,0,Inativo
120,187,1,139.0,0,0,0,0,Inativo
121,187,1,209.7,0,0,0,0,Inativo
122,206,1,89.4,0,0,0,0,Inativo
123,187,1,219.8,0,0,0,0,Inativo
124,187,1,187.6,0,0,0,0,Inativo
125,186,1,202.8,0,0,0,0,Inativo
126,206,1,189.0,0,0,0,0,Inativo
127,187,1,227.7,0,0,0,0,Inativo
128,186,1,109.9,0,0,0,0,Inativo
129,187,1,153.8,0,0,0,0,Inativo
130,187,1,99.9,0,0,0,0,Inativo
131,187,1,95.9,0,0,0,0,Inativo
132,206,1,212.13,0,0,0,0,Inativo
133,186,1,219.8,0,0,0,0,Inativo
134,186,1,290.0,0,0,0,0,Inativo
135,186,1,268.9,0,0,0,0,Inativo
136,186,1,75.8,0,0,0,0,Inativo
137,186,1,198.7,0,0,0,0,Inativo
138,186,1,219.7,0,0,0,0,Inativo
139,206,1,64.1,0,0,0,0,Inativo
140,186,1,219.6,0,0,0,0,Inativo
141,206,1,61.91,0,0,0,0,Inativo
142,206,1,72.2,0,0,0,0,Inativo
143,206,1,204.8,0,0,0,0,Inativo
144,211,1,209.9,0,0,0,0,Inativo
145,206,1,72.2,0,0,0,0,Inativo
146,206,1,91.3,0,0,0,0,Inativo
147,206,1,67.4,0,0,0,0,Inativo
148,206,1,83.1,0,0,0,0,Inativo
149,209,1,217.5,0,0,0,0,Inativo
150,209,1,181.71,0,0,0,0,Inativo
151,209,1,219.6,0,0,0,0,Inativo
152,209,1,278.8,0,0,0,0,Inativo
153,208,1,171.69,0,0,0,0,Inativo
154,208,1,180.45,0,0,0,0,Inativo
155,208,1,188.9,0,0,0,0,Inativo
156,208,1,83.1,0,0,0,0,Inativo
157,213,1,189.0,0,0,0,0,Inativo
158,208,1,72.2,0,0,0,0,Inativo
159,208,1,235.2,0,0,0,0,Inativo
160,208,1,223.9,0,0,0,0,Inativo
161,207,1,184.5,0,0,0,0,Inativo
162,207,1,165.0,0,0,0,0,Inativo
163,207,1,193.9,0,0,0,0,Inativo
164,189,3,282.8,0,0,0,0,Inativo
165,207,1,220.7,0,0,0,0,Inativo
166,207,1,243.9,0,0,0,0,Inativo
167,207,1,180.3,0,0,0,0,Inativo
168,207,1,80.0,0,0,0,0,Inativo
169,207,1,181.9,0,0,0,0,Inativo
170,213,1,151.5,0,0,0,0,Inativo
171,207,1,205.6,0,0,0,0,Inativo
172,207,1,91.3,0,0,0,0,Inativo
173,207,1,139.1,0,0,0,0,Inativo
174,207,1,216.6,0,0,0,0,Inativo
175,207,1,86.5,0,0,0,0,Inativo
176,207,1,219.6,0,0,0,0,Inativo
177,207,1,248.7,0,0,0,0,Inativo
178,189,1,219.6,0,0,0,0,Inativo
179,189,1,199.8,0,0,0,0,Inativo
180,189,1,274.8,0,0,0,0,Inativo
181,189,1,237.7,0,0,0,0,Inativo
182,189,1,248.7,0,0,0,0,Inativo
183,188,1,159.8,0,0,0,0,Inativo
184,188,1,244.5,0,0,0,0,Inativo
185,188,1,186.2,0,0,0,0,Inativo
186,211,1,220.7,0,0,0,0,Inativo
187,188,1,229.23,0,0,0,0,Inativo
188,189,1,54.9,0,0,0,0,Inativo
189,189,1,183.2,0,0,0,0,Inativo
190,188,1,274.7,0,0,0,0,Inativo
191,189,1,289.7,0,0,0,0,Inativo
192,211,1,183.8,0,0,0,0,Inativo
193,213,1,189.0,0,0,0,0,Inativo
194,188,1,183.2,0,0,0,0,Inativo
195,189,1,213.6,0,0,0,0,Inativo
196,189,1,109.9,0,0,0,0,Inativo
197,188,1,139.8,0,0,0,0,Inativo
198,188,1,219.6,0,0,0,0,Inativo
199,211,1,189.0,0,0,0,0,Inativo
200,188,1,119.9,0,0,0,0,Inativo
201,188,1,194.7,0,0,0,0,Inativo
202,186,1,86.9,0,0,0,0,Inativo
203,185,1,258.9,0,0,0,0,Inativo
204,186,1,290.0,0,0,0,0,Inativo
205,186,1,149.0,0,0,0,0,Inativo
206,186,1,290.0,0,0,0,0,Inativo
207,189,1,202.8,0,0,0,0,Inativo
208,186,1,133.3,0,0,0,0,Inativo
209,185,1,220.6,0,0,0,0,Inativo
210,186,1,289.5,0,0,0,0,Inativo
211,186,1,198.9,0,0,0,0,Inativo
212,186,1,156.3,0,0,0,0,Inativo
213,186,1,219.8,0,0,0,0,Inativo
214,188,1,184.8,0,0,0,0,Inativo
215,186,1,198.9,0,0,0,0,Inativo
216,185,1,54.9,0,0,0,0,Inativo
217,186,1,69.9,0,0,0,0,Inativo
218,185,1,139.0,0,0,0,0,Inativo
219,170,3,251.60000000000002,0,0,0,0,Inativo
220,189,1,290.0,0,0,0,0,Inativo
221,186,1,220.7,0,0,0,0,Inativo
222,186,1,149.0,0,0,0,0,Inativo
223,186,1,54.9,0,0,0,0,Inativo
224,186,1,57.7,0,0,0,0,Inativo
225,185,1,104.2,0,0,0,0,Inativo
226,185,1,86.9,0,0,0,0,Inativo
227,185,1,298.8,0,0,0,0,Inativo
228,188,1,153.99,0,0,0,0,Inativo
229,185,1,239.1,0,0,0,0,Inativo
230,185,1,187.5,0,0,0,0,Inativo
231,185,1,128.44,0,0,0,0,Inativo
232,185,1,90.93,0,0,0,0,Inativo
233,185,1,125.8,0,0,0,0,Inativo
234,185,1,69.9,0,0,0,0,Inativo
235,189,1,209.7,0,0,0,0,Inativo
236,185,1,222.5,0,0,0,0,Inativo
237,185,1,139.0,0,0,0,0,Inativo
238,185,1,249.7,0,0,0,0,Inativo
239,185,1,231.5,0,0,0,0,Inativo
240,185,1,109.9,0,0,0,0,Inativo
241,185,1,254.7,0,0,0,0,Inativo
242,185,1,219.7,0,0,0,0,Inativo
243,185,1,164.7,0,0,0,0,Inativo
244,185,1,109.9,0,0,0,0,Inativo
245,185,1,199.8,0,0,0,0,Inativo
246,185,1,125.8,0,0,0,0,Inativo
247,185,1,54.9,0,0,0,0,Inativo
248,213,1,217.98,0,0,0,0,Inativo
249,188,1,279.6,0,0,0,0,Inativo
250,185,1,188.2,0,0,0,0,Inativo
251,185,1,187.5,0,0,0,0,Inativo
252,185,1,205.9,0,0,0,0,Inativo
253,185,1,219.6,0,0,0,0,Inativo
254,185,1,139.0,0,0,0,0,Inativo
255,189,1,109.8,0,0,0,0,Inativo
256,185,1,198.9,0,0,0,0,Inativo
257,185,1,117.7,0,0,0,0,Inativo
258,185,1,180.3,0,0,0,0,Inativo
259,185,1,109.8,0,0,0,0,Inativo
260,185,1,114.05,0,0,0,0,Inativo
261,185,1,134.1,0,0,0,0,Inativo
262,185,1,218.9,0,0,0,0,Inativo
263,185,1,87.8,0,0,0,0,Inativo
264,185,1,54.9,0,0,0,0,Inativo
265,188,1,148.7,0,0,0,0,Inativo
266,188,1,109.9,0,0,0,0,Inativo
267,189,1,202.8,0,0,0,0,Inativo
268,189,1,219.6,0,0,0,0,Inativo
269,188,1,218.4,0,0,0,0,Inativo
270,189,1,221.4,0,0,0,0,Inativo
271,188,1,137.1,0,0,0,0,Inativo
272,189,1,109.8,0,0,0,0,Inativo
273,187,1,219.7,0,0,0,0,Inativo
274,189,1,109.8,0,0,0,0,Inativo
275,187,1,69.9,0,0,0,0,Inativo
276,187,1,59.9,0,0,0,0,Inativo
277,187,1,279.7,0,0,0,0,Inativo
278,187,1,219.8,0,0,0,0,Inativo
279,212,1,209.8,0,0,0,0,Inativo
280,187,1,139.8,0,0,0,0,Inativo
281,187,1,49.8,0,0,0,0,Inativo
282,189,1,161.7,0,0,0,0,Inativo
283,187,1,181.6,0,0,0,0,Inativo
284,187,1,274.5,0,0,0,0,Inativo
285,211,1,94.2,0,0,0,0,Inativo
286,189,1,290.0,0,0,0,0,Inativo
287,189,1,104.8,0,0,0,0,Inativo
288,189,1,49.9,0,0,0,0,Inativo
289,189,1,202.8,0,0,0,0,Inativo
290,189,1,229.7,0,0,0,0,Inativo
291,212,1,122.3,0,0,0,0,Inativo
292,211,1,202.8,0,0,0,0,Inativo
293,211,1,177.06,0,0,0,0,Inativo
294,211,1,202.8,0,0,0,0,Inativo
295,212,1,89.4,0,0,0,0,Inativo
296,185,1,139.0,0,0,0,0,Inativo
297,185,1,146.3,0,0,0,0,Inativo
298,185,1,209.7,0,0,0,0,Inativo
299,185,1,219.6,0,0,0,0,Inativo
300,185,1,49.9,0,0,0,0,Inativo
301,185,1,202.8,0,0,0,0,Inativo
302,185,1,298.0,0,0,0,0,Inativo
303,185,1,41.5,0,0,0,0,Inativo
304,185,1,201.7,0,0,0,0,Inativo
305,185,1,125.8,0,0,0,0,Inativo
306,185,1,159.8,0,0,0,0,Inativo
307,184,1,154.7,0,0,0,0,Inativo
308,184,1,113.8,0,0,0,0,Inativo
309,184,1,197.0,0,0,0,0,Inativo
310,184,1,169.8,0,0,0,0,Inativo
311,184,1,219.8,0,0,0,0,Inativo
312,185,1,127.2,0,0,0,0,Inativo
313,184,1,186.2,0,0,0,0,Inativo
314,184,1,255.6,0,0,0,0,Inativo
315,185,1,187.4,0,0,0,0,Inativo
316,184,1,164.7,0,0,0,0,Inativo
317,184,1,80.8,0,0,0,0,Inativo
318,184,1,214.6,0,0,0,0,Inativo
319,184,3,219.6,0,0,0,0,Inativo
320,184,1,99.8,0,0,0,0,Inativo
321,184,1,109.9,0,0,0,0,Inativo
322,184,1,109.8,0,0,0,0,Inativo
323,184,1,229.8,0,0,0,0,Inativo
324,184,1,149.0,0,0,0,0,Inativo
325,184,1,189.8,0,0,0,0,Inativo
326,184,1,98.66,0,0,0,0,Inativo
327,184,1,290.0,0,0,0,0,Inativo
328,184,1,139.8,0,0,0,0,Inativo
329,184,1,109.9,0,0,0,0,Inativo
330,184,1,139.8,0,0,0,0,Inativo
331,184,1,221.7,0,0,0,0,Inativo
332,184,1,204.7,0,0,0,0,Inativo
333,184,1,105.94,0,0,0,0,Inativo
334,184,1,234.6,0,0,0,0,Inativo
335,184,1,249.7,0,0,0,0,Inativo
336,184,1,119.9,0,0,0,0,Inativo
337,184,1,85.5,0,0,0,0,Inativo
338,184,1,290.0,0,0,0,0,Inativo
339,184,1,231.93,0,0,0,0,Inativo
340,184,1,109.8,0,0,0,0,Inativo
341,184,1,205.8,0,0,0,0,Inativo
342,184,1,149.0,0,0,0,0,Inativo
343,184,1,117.7,0,0,0,0,Inativo
344,184,1,109.9,0,0,0,0,Inativo
345,184,1,219.8,0,0,0,0,Inativo
346,184,1,109.8,0,0,0,0,Inativo
347,184,1,290.0,0,0,0,0,Inativo
348,184,1,219.8,0,0,0,0,Inativo
349,184,1,109.8,0,0,0,0,Inativo
350,184,1,221.6,0,0,0,0,Inativo
351,184,1,54.9,0,0,0,0,Inativo
352,184,1,214.6,0,0,0,0,Inativo
353,184,1,265.9,0,0,0,0,Inativo
354,184,1,76.9,0,0,0,0,Inativo
355,184,1,279.7,0,0,0,0,Inativo
356,184,1,109.9,0,0,0,0,Inativo
357,184,1,169.0,0,0,0,0,Inativo
358,211,1,78.9,0,0,0,0,Inativo
359,212,1,211.4,0,0,0,0,Inativo
360,211,1,144.53,0,0,0,0,Inativo
361,185,1,134.8,0,0,0,0,Inativo
362,183,1,290.0,0,0,0,0,Inativo
363,183,1,274.6,0,0,0,0,Inativo
364,184,1,109.9,0,0,0,0,Inativo
365,183,1,109.8,0,0,0,0,Inativo
366,183,1,164.8,0,0,0,0,Inativo
367,184,1,304.5,0,0,0,0,Inativo
368,183,1,54.9,0,0,0,0,Inativo
369,183,1,218.4,0,0,0,0,Inativo
370,184,1,216.5,0,0,0,0,Inativo
371,183,1,125.8,0,0,0,0,Inativo
372,184,1,86.9,0,0,0,0,Inativo
373,183,1,186.5,0,0,0,0,Inativo
374,184,1,109.8,0,0,0,0,Inativo
375,183,1,250.1,0,0,0,0,Inativo
376,184,1,234.7,0,0,0,0,Inativo
377,183,1,94.2,0,0,0,0,Inativo
378,184,1,239.8,0,0,0,0,Inativo
379,183,1,76.9,0,0,0,0,Inativo
380,183,1,299.5,0,0,0,0,Inativo
381,184,1,220.7,0,0,0,0,Inativo
382,183,1,278.0,0,0,0,0,Inativo
383,184,1,164.8,0,0,0,0,Inativo
384,183,1,217.5,0,0,0,0,Inativo
385,184,1,253.2,0,0,0,0,Inativo
386,183,1,54.9,0,0,0,0,Inativo
387,183,1,99.7,0,0,0,0,Inativo
388,184,1,129.75,0,0,0,0,Inativo
389,184,1,258.8,0,0,0,0,Inativo
390,183,1,290.0,0,0,0,0,Inativo
391,184,1,109.9,0,0,0,0,Inativo
392,183,1,139.0,0,0,0,0,Inativo
393,184,1,195.8,0,0,0,0,Inativo
394,183,1,119.9,0,0,0,0,Inativo
395,184,1,209.7,0,0,0,0,Inativo
396,183,1,139.0,0,0,0,0,Inativo
397,183,1,227.7,0,0,0,0,Inativo
398,184,1,289.7,0,0,0,0,Inativo
399,183,1,290.0,0,0,0,0,Inativo
400,184,1,69.9,0,0,0,0,Inativo
401,183,1,190.7,0,0,0,0,Inativo
402,184,1,147.6,0,0,0,0,Inativo
403,183,1,183.7,0,0,0,0,Inativo
404,183,1,109.9,0,0,0,0,Inativo
405,183,1,249.7,0,0,0,0,Inativo
406,183,1,109.9,0,0,0,0,Inativo
407,183,1,94.2,0,0,0,0,Inativo
408,183,1,109.9,0,0,0,0,Inativo
409,184,1,234.7,0,0,0,0,Inativo
410,183,1,76.9,0,0,0,0,Inativo
411,184,1,98.1,0,0,0,0,Inativo
412,184,1,188.29,0,0,0,0,Inativo
413,183,1,76.9,0,0,0,0,Inativo
414,183,1,139.0,0,0,0,0,Inativo
415,183,1,98.82,0,0,0,0,Inativo
416,183,1,290.0,0,0,0,0,Inativo
417,183,1,192.4,0,0,0,0,Inativo
418,183,1,77.7,0,0,0,0,Inativo
419,183,1,92.32,0,0,0,0,Inativo
420,183,1,109.9,0,0,0,0,Inativo
421,183,1,223.6,0,0,0,0,Inativo
422,183,1,202.8,0,0,0,0,Inativo
423,183,1,136.5,0,0,0,0,Inativo
424,183,1,54.9,0,0,0,0,Inativo
425,183,1,149.7,0,0,0,0,Inativo
426,183,1,54.9,0,0,0,0,Inativo
427,183,1,299.7,0,0,0,0,Inativo
428,211,1,202.8,0,0,0,0,Inativo
429,183,1,147.1,0,0,0,0,Inativo
430,183,1,113.8,0,0,0,0,Inativo
431,183,1,181.6,0,0,0,0,Inativo
432,183,1,219.8,0,0,0,0,Inativo
433,183,1,109.9,0,0,0,0,Inativo
434,183,1,155.95,0,0,0,0,Inativo
435,183,1,181.7,0,0,0,0,Inativo
436,183,1,182.5,0,0,0,0,Inativo
437,183,1,139.1,0,0,0,0,Inativo
438,182,1,253.8,0,0,0,0,Inativo
439,182,1,154.8,0,0,0,0,Inativo
440,183,1,169.0,0,0,0,0,Inativo
441,182,1,199.2,0,0,0,0,Inativo
442,183,1,219.6,0,0,0,0,Inativo
443,182,1,290.0,0,0,0,0,Inativo
444,183,1,220.7,0,0,0,0,Inativo
445,182,1,145.8,0,0,0,0,Inativo
446,183,1,202.8,0,0,0,0,Inativo
447,182,1,142.7,0,0,0,0,Inativo
448,183,1,168.7,0,0,0,0,Inativo
449,183,1,54.9,0,0,0,0,Inativo
450,182,1,202.8,0,0,0,0,Inativo
451,182,1,257.8,0,0,0,0,Inativo
452,183,1,189.6,0,0,0,0,Inativo
453,182,1,203.9,0,0,0,0,Inativo
454,182,1,206.6,0,0,0,0,Inativo
455,182,1,74.4,0,0,0,0,Inativo
456,182,1,220.7,0,0,0,0,Inativo
457,183,1,188.0,0,0,0,0,Inativo
458,183,1,109.8,0,0,0,0,Inativo
459,182,1,99.8,0,0,0,0,Inativo
460,183,1,76.9,0,0,0,0,Inativo
461,183,1,119.8,0,0,0,0,Inativo
462,182,1,126.8,0,0,0,0,Inativo
463,183,1,109.9,0,0,0,0,Inativo
464,183,1,69.9,0,0,0,0,Inativo
465,182,1,203.9,0,0,0,0,Inativo
466,182,1,59.9,0,0,0,0,Inativo
467,182,1,183.9,0,0,0,0,Inativo
468,183,1,290.0,0,0,0,0,Inativo
469,182,1,99.9,0,0,0,0,Inativo
470,183,1,290.0,0,0,0,0,Inativo
471,182,1,290.0,0,0,0,0,Inativo
472,183,1,109.9,0,0,0,0,Inativo
473,183,1,133.3,0,0,0,0,Inativo
474,183,1,98.82,0,0,0,0,Inativo
475,183,1,151.74,0,0,0,0,Inativo
476,182,1,196.8,0,0,0,0,Inativo
477,183,1,54.9,0,0,0,0,Inativo
478,182,1,149.0,0,0,0,0,Inativo
479,183,1,154.8,0,0,0,0,Inativo
480,183,1,54.9,0,0,0,0,Inativo
481,183,1,183.9,0,0,0,0,Inativo
482,182,1,109.9,0,0,0,0,Inativo
483,182,1,219.8,0,0,0,0,Inativo
484,182,1,214.6,0,0,0,0,Inativo
485,182,1,290.0,0,0,0,0,Inativo
486,182,1,174.7,0,0,0,0,Inativo
487,182,1,109.9,0,0,0,0,Inativo
488,182,1,209.8,0,0,0,0,Inativo
489,182,1,183.7,0,0,0,0,Inativo
490,182,1,290.0,0,0,0,0,Inativo
491,182,1,182.5,0,0,0,0,Inativo
492,182,1,253.6,0,0,0,0,Inativo
493,182,1,77.7,0,0,0,0,Inativo
494,182,1,195.7,0,0,0,0,Inativo
495,182,1,69.9,0,0,0,0,Inativo
496,182,1,93.8,0,0,0,0,Inativo
497,182,1,198.9,0,0,0,0,Inativo
498,182,1,205.6,0,0,0,0,Inativo
499,182,1,124.6,0,0,0,0,Inativo
500,182,1,258.9,0,0,0,0,Inativo
501,182,1,219.8,0,0,0,0,Inativo
502,182,1,199.2,0,0,0,0,Inativo
503,182,1,86.9,0,0,0,0,Inativo
504,182,1,250.3,0,0,0,0,Inativo
505,182,1,111.8,0,0,0,0,Inativo
506,182,1,166.3,0,0,0,0,Inativo
507,182,1,159.8,0,0,0,0,Inativo
508,182,1,201.7,0,0,0,0,Inativo
509,182,1,109.9,0,0,0,0,Inativo
510,182,1,108.3,0,0,0,0,Inativo
511,182,1,297.7,0,0,0,0,Inativo
512,182,1,99.7,0,0,0,0,Inativo
513,182,1,297.9,0,0,0,0,Inativo
514,182,1,101.8,0,0,0,0,Inativo
515,182,1,25.9,0,0,0,0,Inativo
516,182,1,274.7,0,0,0,0,Inativo
517,182,1,219.6,0,0,0,0,Inativo
518,182,1,99.9,0,0,0,0,Inativo
519,182,1,109.8,0,0,0,0,Inativo
520,182,1,109.8,0,0,0,0,Inativo
521,182,1,208.7,0,0,0,0,Inativo
522,182,1,290.0,0,0,0,0,Inativo
523,182,1,219.8,0,0,0,0,Inativo
524,182,1,187.7,0,0,0,0,Inativo
525,182,1,249.6,0,0,0,0,Inativo
526,182,1,174.9,0,0,0,0,Inativo
527,182,1,106.7,0,0,0,0,Inativo
528,181,1,109.9,0,0,0,0,Inativo
529,181,1,229.4,0,0,0,0,Inativo
530,182,1,219.6,0,0,0,0,Inativo
531,181,1,233.8,0,0,0,0,Inativo
532,182,1,149.0,0,0,0,0,Inativo
533,181,1,54.9,0,0,0,0,Inativo
534,181,1,269.5,0,0,0,0,Inativo
535,182,1,200.8,0,0,0,0,Inativo
536,181,1,109.8,0,0,0,0,Inativo
537,182,1,299.4,0,0,0,0,Inativo
538,181,1,220.7,0,0,0,0,Inativo
539,182,1,109.9,0,0,0,0,Inativo
540,181,1,298.0,0,0,0,0,Inativo
541,182,1,220.7,0,0,0,0,Inativo
542,181,1,171.7,0,0,0,0,Inativo
543,182,1,182.7,0,0,0,0,Inativo
544,181,1,198.8,0,0,0,0,Inativo
545,181,1,151.7,0,0,0,0,Inativo
546,182,1,73.8,0,0,0,0,Inativo
547,181,1,289.7,0,0,0,0,Inativo
548,182,1,215.7,0,0,0,0,Inativo
549,182,1,109.9,0,0,0,0,Inativo
550,182,1,191.6,0,0,0,0,Inativo
551,181,1,228.8,0,0,0,0,Inativo
552,181,1,109.9,0,0,0,0,Inativo
553,181,1,180.6,0,0,0,0,Inativo
554,181,1,166.7,0,0,0,0,Inativo
555,181,1,289.6,0,0,0,0,Inativo
556,181,1,149.0,0,0,0,0,Inativo
557,181,1,185.7,0,0,0,0,Inativo
558,181,1,54.9,0,0,0,0,Inativo
559,181,1,109.9,0,0,0,0,Inativo
560,181,1,135.4,0,0,0,0,Inativo
561,181,1,109.9,0,0,0,0,Inativo
562,181,1,129.8,0,0,0,0,Inativo
563,181,1,290.0,0,0,0,0,Inativo
564,181,1,219.7,0,0,0,0,Inativo
565,181,1,235.2,0,0,0,0,Inativo
566,181,1,149.0,0,0,0,0,Inativo
567,180,1,264.51,0,0,0,0,Inativo
568,181,1,183.9,0,0,0,0,Inativo
569,212,1,213.0,0,0,0,0,Inativo
570,180,1,297.8,0,0,0,0,Inativo
571,181,1,69.9,0,0,0,0,Inativo
572,181,1,229.8,0,0,0,0,Inativo
573,180,1,199.8,0,0,0,0,Inativo
574,181,1,200.5,0,0,0,0,Inativo
575,181,1,189.8,0,0,0,0,Inativo
576,180,1,158.92,0,0,0,0,Inativo
577,181,1,301.7,0,0,0,0,Inativo
578,181,1,69.9,0,0,0,0,Inativo
579,180,1,119.8,0,0,0,0,Inativo
580,181,1,70.5,0,0,0,0,Inativo
581,181,1,124.8,0,0,0,0,Inativo
582,181,1,268.9,0,0,0,0,Inativo
583,181,1,209.7,0,0,0,0,Inativo
584,180,1,69.9,0,0,0,0,Inativo
585,180,1,209.7,0,0,0,0,Inativo
586,180,1,203.02,0,0,0,0,Inativo
587,181,1,109.9,0,0,0,0,Inativo
588,180,1,99.8,0,0,0,0,Inativo
589,180,1,185.6,0,0,0,0,Inativo
590,181,1,91.8,0,0,0,0,Inativo
591,180,1,258.8,0,0,0,0,Inativo
592,181,1,51.8,0,0,0,0,Inativo
593,180,1,99.9,0,0,0,0,Inativo
594,181,1,99.8,0,0,0,0,Inativo
595,180,1,274.5,0,0,0,0,Inativo
596,180,1,209.8,0,0,0,0,Inativo
597,181,1,205.9,0,0,0,0,Inativo
598,181,1,183.7,0,0,0,0,Inativo
599,181,1,207.5,0,0,0,0,Inativo
600,181,1,253.7,0,0,0,0,Inativo
601,180,1,290.0,0,0,0,0,Inativo
602,181,1,232.5,0,0,0,0,Inativo
603,181,1,62.7,0,0,0,0,Inativo
